[2024-11-27T21:15:41.834318+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=classes","remote_ip":"::1","correlation_id":"67477dedcbb24"}
[2024-11-27T21:15:56.616204+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=famroles","remote_ip":"::1","correlation_id":"67477dfc96716"}
[2024-11-27T21:18:44.701293+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes","remote_ip":"::1","correlation_id":"67477ea4ab376"}
[2024-11-27T21:20:06.723015+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes","remote_ip":"::1","correlation_id":"67477ef6b085a"}
[2024-11-27T21:20:09.997562+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67477ef9f38c2"}
[2024-11-27T21:20:13.612964+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67477efd95a6e"}
[2024-11-27T21:20:16.982519+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67477f00efe01"}
[2024-11-27T21:20:30.220295+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67477f0e35c90"}
[2024-11-27T21:21:47.349906+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes","remote_ip":"::1","correlation_id":"67477f5b556db"}
[2024-11-27T21:22:37.373711+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67477f8d5b3d9"}
[2024-11-27T21:22:45.506884+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67477f957bc13"}
[2024-11-27T21:23:13.635515+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67477fb19b28d"}
[2024-11-27T21:23:16.689011+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67477fb4a837c"}
[2024-11-27T21:23:43.925612+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67477fcfe1fb5"}
[2024-11-27T21:44:08.777243+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes","remote_ip":"::1","correlation_id":"67478498bdc25"}
[2024-11-27T21:44:27.902336+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"674784abdc4ca"}
[2024-11-27T21:44:43.744003+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"674784bbb5a53"}
[2024-11-27T21:45:01.568200+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"674784cd8ab92"}
